,,,wall_time_ms,wall_time_ms,wall_time_ms,wall_time_ms,peak_rss_mb,peak_rss_mb,energy_estimate_joules,run
,,,mean,std,min,max,mean,std,mean,count
function,n,t,,,,,,,,
AggCompute,5,3,10.9115,6.9104,3.193,33.223,14.1758,0.0,1.7733,30
AggCompute,5,4,21.9198,16.2865,4.851,78.967,14.3633,0.063,5.226,60
AggCompute,10,5,16.4983,12.2545,4.125,60.332,14.5508,0.0,9.4713,30
AggCompute,10,7,20.8841,14.0357,4.429,70.721,14.5508,0.0,13.015,30
AggCompute,10,8,22.9803,12.7667,5.528,55.117,14.5508,0.0,16.0875,30
AggCompute,20,10,21.2371,13.9832,5.597,59.366,14.5508,0.0,19.9429,30
AggCompute,20,14,24.8442,16.2357,8.272,74.656,14.5508,0.0,24.0129,30
AggCompute,20,15,28.2814,14.8187,8.376,61.764,14.8008,0.0,28.5579,30
AggCompute,50,25,37.3466,17.5805,15.888,76.886,15.1758,0.0,38.4788,30
AggCompute,50,34,43.2157,17.106,26.919,88.482,15.1758,0.0,49.8146,30
AggCompute,50,38,52.6691,14.638,30.03,85.924,15.1758,0.0,62.2163,30
DKG1,5,3,0.6638,0.9407,0.226,4.691,13.2422,0.0,0.6196,30
DKG1,5,4,1.2747,1.5558,0.246,8.136,14.2383,0.063,3.1344,60
DKG1,10,5,1.8711,2.1193,0.38,8.859,14.4341,0.0317,6.9829,30
DKG1,10,7,2.8477,3.4785,0.45,12.432,14.5508,0.0,9.8696,30
DKG1,10,8,1.0405,0.6662,0.521,3.204,14.5508,0.0,13.3617,30
DKG1,20,10,2.0555,2.1667,0.619,9.428,14.5508,0.0,16.5258,30
DKG1,20,14,2.7651,1.6799,0.785,9.084,14.5508,0.0,20.3704,30
DKG1,20,15,2.6748,2.5101,0.835,9.982,14.5508,0.0,24.6158,30
DKG1,50,25,3.7506,3.4062,1.663,20.079,14.8008,0.0,29.0983,30
DKG1,50,34,5.9149,7.9336,1.959,44.578,15.1758,0.0,39.2196,30
DKG1,50,38,6.9242,4.792,2.656,21.221,15.1758,0.0,50.8442,30
DKG2,5,3,5.058,4.7654,1.574,24.164,14.0549,0.0228,0.7904,30
DKG2,5,4,6.8254,6.1065,1.584,36.642,14.3008,0.0,3.3785,60
DKG2,10,5,9.1731,4.2375,3.342,18.295,14.5508,0.0,7.3608,30
DKG2,10,7,14.9052,12.5965,4.491,46.989,14.5508,0.0,10.3588,30
DKG2,10,8,11.1675,8.5423,3.991,35.124,14.5508,0.0,13.6988,30
DKG2,20,10,17.6961,10.8441,6.474,47.969,14.5508,0.0,17.0333,30
DKG2,20,14,14.1326,6.0087,7.531,28.229,14.5508,0.0,20.7883,30
DKG2,20,15,16.7206,7.7392,7.381,38.653,14.5508,0.0,25.1625,30
DKG2,50,25,35.3677,11.1658,25.289,79.296,15.0508,0.0,30.045,30
DKG2,50,34,39.954,9.821,27.513,62.895,15.1758,0.0,40.2954,30
DKG2,50,38,42.3462,8.3918,33.216,65.413,15.1758,0.0,51.9654,30
DKG3,5,3,6.4912,3.7523,3.007,19.811,14.1758,0.0,1.0292,30
DKG3,5,4,11.3215,8.8142,3.492,47.078,14.3008,0.0,3.7567,60
DKG3,10,5,17.5518,8.0521,8.529,39.655,14.5508,0.0,7.9062,30
DKG3,10,7,29.0307,15.5571,10.102,61.909,14.5508,0.0,11.1821,30
DKG3,10,8,23.6031,14.3016,10.687,73.579,14.5508,0.0,14.4388,30
DKG3,20,10,36.4342,8.2864,26.287,57.761,14.5508,0.0,18.1583,30
DKG3,20,14,39.2508,4.4488,29.572,48.446,14.5508,0.0,21.9163,30
DKG3,20,15,44.2285,7.2781,34.001,61.647,14.6383,0.0583,26.4454,30
DKG3,50,25,144.506,29.6863,115.298,247.502,15.1466,0.0538,33.9538,30
DKG3,50,34,167.088,13.7599,140.118,196.994,15.1758,0.0,44.9633,30
DKG3,50,38,179.9668,15.3622,159.835,207.455,15.1758,0.0,57.0396,30
PartialGen,5,3,6.2,5.0825,2.145,22.842,14.1758,0.0,1.2408,30
PartialGen,5,4,15.002,12.7758,3.201,55.032,14.3008,0.0,4.1838,60
PartialGen,10,5,15.2402,11.971,3.04,49.391,14.5508,0.0,8.5229,30
PartialGen,10,7,14.2378,11.2966,3.341,49.355,14.5508,0.0,11.9279,30
PartialGen,10,8,12.2193,11.3056,1.995,51.428,14.5508,0.0,15.0788,30
PartialGen,20,10,11.1339,11.0047,2.596,47.248,14.5508,0.0,19.0262,30
PartialGen,20,14,14.8459,15.7138,2.934,77.776,14.5508,0.0,22.91,30
PartialGen,20,15,12.0293,8.982,2.233,37.865,14.7841,0.0432,27.42,30
PartialGen,50,25,16.7777,11.6895,4.077,53.019,15.1758,0.0,36.9896,30
PartialGen,50,34,9.779,5.0018,3.824,19.798,15.1758,0.0,48.1875,30
PartialGen,50,38,10.4793,6.0763,3.793,24.784,15.1758,0.0,60.4921,30
PartialVerify,5,3,7.6096,5.7052,2.515,27.108,14.1758,0.0,1.445,30
PartialVerify,5,4,12.6699,11.4379,2.608,57.829,14.3258,0.0504,4.635,60
PartialVerify,10,5,14.7298,13.4211,2.32,65.141,14.5508,0.0,8.9446,30
PartialVerify,10,7,17.517,15.633,3.345,54.879,14.5508,0.0,12.3817,30
PartialVerify,10,8,13.6832,12.7582,2.816,55.196,14.5508,0.0,15.505,30
PartialVerify,20,10,13.0168,9.973,3.641,39.637,14.5508,0.0,19.3662,30
PartialVerify,20,14,13.7009,9.107,2.724,34.448,14.5508,0.0,23.3675,30
PartialVerify,20,15,14.3535,8.9858,4.306,34.983,14.8008,0.0,27.8221,30
PartialVerify,50,25,15.6602,9.2646,4.975,41.791,15.1758,0.0,37.4963,30
PartialVerify,50,34,13.3541,9.3693,4.909,40.326,15.1758,0.0,48.6292,30
PartialVerify,50,38,15.0569,11.4596,4.542,47.889,15.1758,0.0,60.8962,30
